GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
159763,97FFC76D-3C78-4ABE-B658-3E1BD4ACEC75,"Breath sensor research in Zurich, University Medicine Zurich Annual Meeting",2019-11-04,"Zürich, Switzerland",Other administration / public sector,Talk,nan
130640,FC0A3F9D-BEE2-46ED-B74E-A6738700508C,Endocrine Disruptors,2012-09-17,"Mainz, Germany",Industry / private companies,Talk,nan
159440,40C0142F-15E2-4A3E-B600-44063F7D9088,Ma thèse en 180 secondes,2018-06-18,"Fribourg, Switzerland",Other administration / public sector,Talk,https://www.youtube.com/watch?v=neU9GI6cLuE
133009,3BD5CBF1-D48A-45BB-B40C-415CF97B7FF0,Gsund Züri,2011-09-23,"Zürich, Switzerland",Other administration / public sector,Talk,nan
133009,92E294D6-50E4-439D-85E7-E61A2943052F,4. Wissenschaftliches Psychiatrisches Symposium,2011-09-12,"Zürich, Schweiz, Switzerland",Other administration / public sector,Talk,nan
144110,BE14239F-7CF8-4074-AA38-8DF2FCEEC3D8,swisspeace colloquium on theoretical frameworks,2012-11-28,"Bern, Switzerland",Other foundations / NGOs,Talk,nan
144110,D8CF5C0C-869A-470E-889B-1C5DBC5D45D7,swisspeace colloquium on research gaps,2013-06-04,"Bern, Switzerland",Other foundations / NGOs,Self-organised,nan
156882,494862D6-26C2-4893-9660-7A902F610870,2ème Forum francophone TeamSTEPPS (Mars 2019),2019-03-07,"Morges, Switzerland",Other administration / public sector,Talk,nan
156882,6C7BF35A-1451-4A30-8F24-F0ACCF106AE9,"Mini symposium on quality and security of care; HUG Genève, April 18th, 2019",2019-04-18,"Genève , Switzerland",Other administration / public sector,Talk,nan
156882,6E353736-337A-4B20-9469-C2E3CE22F111,7. Interprofessioneller Gesundheitskongress 5-7 April 2019 Dresden,2019-04-05,"Dresden , Germany",Other administration / public sector,Talk,http://www.gesundheitskongresse.de/dresden/2019/
156882,337BF118-59C8-44B2-88A5-F5A0A09B4CFF,5. Symposium Retten & Lernen 2018,2018-11-30,"Nottwil , Switzerland",Other administration / public sector,Talk,nan
137954,0E608D5A-3FDC-4FE4-9466-FC72D7EE7C84,Sirkeli Grabungsabschlussfest,2012-08-28,"Sirkeli, Turkey",Other administration / public sector,Self-organised,http://sirkeli.unibe.ch/de/2012/09/30/veranstaltung-zum-abschluss-der-ausgrabungen-2012/
156987,D2D7BCB7-982B-47CB-BD0E-02D574BF0735,Scientifica – Public science days in Zurich,2015-09-06,"Zurich, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
172682,4CD6692F-663B-4CA7-B898-AA6CE7578CD4,"Genre, travail non rémunéré, travail de care et assurances sociales - Formation Movendo",2020-09-11,"Morges, Switzerland",Other foundations / NGOs,"Performances, exhibitions (e.g. for education institutions)",nan
156533,85F5C93A-6765-4C57-B718-2881688CF6A5,Stimmlos zu Shape of A Right Statement,2017-10-20,"Zürich, Switzerland",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
156533,7695A523-D932-47C7-85CF-AC6ED14920F3,Stimmlos 1: Zu Shape of A Right Statement,2016-04-12,"Wien, Austria",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
156533,33D60A6F-DD56-46CD-804A-3C0FF27B8CF8,Stimmlos 1: Zu Shape of A Right Statement,2015-04-16,"Bremen, Germany",Other administration / public sector,"Performances, exhibitions (e.g. for education institutions)",nan
156533,C33617D3-8E69-45C9-97ED-3E21A40E1E7F,Unerhört? Auf ein sprechendes Schweigen – Ein Balanceakt,2017-01-20,"Berlin, Germany",Other administration / public sector,Workshop,nan
